> normal_prior <- 'F = 1-586
+ PRIOR = (1-586, a1, norm, 2.6, 1)' 
> normal_model <- mirt.model(normal_prior)
> twoPL_run16_29_models_all_words_normal_prior <- mirt(lang_acq_run16_29_models_all_words_tsv, normal_model)
Iteration: 312, Log-Lik: -2944.268, Max-Change: 0.00010
> coef( twoPL_run16_29_models_all_words_normal_prior, IRTpars=TRUE, simplify = TRUE)
$items
                 a      b g u
park         2.421  0.922 0 1
party        3.250  0.871 0 1
pattycake    2.643  3.481 0 1
peas         2.643  3.481 0 1
peekaboo     2.643  3.481 0 1
pen          2.681  1.338 0 1
pencil       2.643  3.481 0 1
penguin      2.643  3.481 0 1
penis        1.638  2.178 0 1
penny        2.643  3.481 0 1
people       1.459  0.264 0 1
person       2.517 -0.154 0 1
pick         2.728 -0.326 0 1
pickle       2.643  3.481 0 1
picnic       2.800  1.646 0 1
picture      2.173  0.952 0 1
pig          2.643  3.481 0 1
pillow       2.785  1.090 0 1
pizza        2.643  3.481 0 1
plant        2.643  3.481 0 1
plate        2.643  3.481 0 1
play         3.189  0.356 0 1
playground   2.643  3.481 0 1
please       2.792  1.648 0 1
police       2.805  0.360 0 1
pony         2.437  1.748 0 1
pool         2.462  0.544 0 1
poor         2.643  3.481 0 1
popcorn      2.643  3.481 0 1
popsicle     2.643  3.481 0 1
porch        2.405  0.923 0 1
potato       2.792  1.648 0 1
potty        2.643  3.481 0 1
pour         2.821  0.890 0 1
present      2.643  3.481 0 1
pretend      2.643  3.481 0 1
pretty       2.905  0.186 0 1
pretzel      2.643  3.481 0 1
pudding      2.643  3.481 0 1
pull         2.018  0.387 0 1
pumpkin      2.643  3.481 0 1
puppy        2.643  3.481 0 1
purse        2.436  1.748 0 1
push         1.990  1.220 0 1
put          3.420 -0.158 0 1
puzzle       2.436  1.748 0 1
quiet        2.527  1.366 0 1
radio        2.082  1.478 0 1
rain         2.541  0.910 0 1
raisin       2.643  3.481 0 1
read         3.109  0.013 0 1
red          2.483  0.366 0 1
refrigerator 2.800  1.646 0 1
ride         2.906  0.186 0 1
rip          1.638  2.178 0 1
rock         2.437  1.748 0 1
roof         2.306  0.738 0 1
room         2.447  0.192 0 1
rooster      2.264  1.811 0 1
run          2.937  0.531 0 1
sad          3.012  1.292 0 1
salt         1.977  1.223 0 1
same         2.837 -0.662 0 1
sandbox      2.643  3.481 0 1
sandwich     2.643  3.481 0 1
sauce        3.260  1.054 0 1
say          2.587 -0.155 0 1
scared       1.898  0.587 0 1
scarf        2.674  1.339 0 1
school       3.187  0.699 0 1
scissors     2.643  3.481 0 1
see          2.786 -0.326 0 1
shake        1.874  0.215 0 1
share        2.287  0.739 0 1
she          1.882 -0.673 0 1
sheep        2.643  3.481 0 1
shush        2.643  3.481 0 1
shirt        2.173  0.952 0 1
shoe         2.643  3.481 0 1
shopping     3.012  1.292 0 1
shorts       2.675  1.339 0 1
shoulder     3.062  0.357 0 1
shovel       2.643  3.481 0 1
show         3.236  0.013 0 1
shower       2.768  0.711 0 1
sick         2.290  0.936 0 1
sidewalk     2.264  1.811 0 1
sing         2.815  0.891 0 1
sink         2.785  1.090 0 1
sister       2.660  0.715 0 1
sit          3.417  0.184 0 1
skate        2.643  3.481 0 1
sky          2.697  0.361 0 1
sled         2.643  3.481 0 1
sleep        2.928  0.358 0 1
sleepy       2.643  3.481 0 1
slipper      2.643  3.481 0 1
slow         2.637  1.106 0 1
smile        1.973  1.225 0 1
snack        2.643  3.481 0 1
sneaker      2.643  3.481 0 1
snow         2.643  3.481 0 1
snowman      2.643  3.481 0 1
snowsuit     2.643  3.481 0 1
soap         2.643  3.481 0 1
sock         2.643  3.481 0 1
soda         1.638  2.178 0 1
sofa         3.260  1.054 0 1
soft         1.929  1.534 0 1
some         2.457 -0.837 0 1
soup         2.643  3.481 0 1
spaghetti    2.643  3.481 0 1
spill        1.638  2.178 0 1
splash       2.643  3.481 0 1
spoon        2.643  3.481 0 1
sprinkler    2.643  3.481 0 1
squirrel     2.643  3.481 0 1
stairs       3.225  0.013 0 1
stand        2.910  0.706 0 1
star         2.643  3.481 0 1
stay         3.191 -0.496 0 1
stick        2.437  1.748 0 1
sticky       2.643  3.481 0 1
stone        3.005  1.292 0 1
stop         2.385  0.369 0 1
store        2.294  0.936 0 1
story        3.060  0.529 0 1
stove        3.176  0.699 0 1
strawberry   2.264  1.811 0 1
street       2.947  0.883 0 1
stroller     2.643  3.481 0 1
stuck        0.970  1.236 0 1
sun          2.790  0.187 0 1
sweater      2.643  3.481 0 1
sweep        2.643  3.481 0 1
swim         2.937  1.077 0 1
table        2.916  0.186 0 1
take         3.178 -0.496 0 1
talk         2.720 -0.326 0 1
tape         1.643  1.340 0 1
taste        2.359  0.549 0 1
teacher      2.436  1.748 0 1
tear         2.643  3.481 0 1
telephone    2.944  1.076 0 1
that         2.671 -1.006 0 1
their        2.743 -1.003 0 1
them         3.048 -0.495 0 1
there        2.491 -0.154 0 1
these        3.420 -0.158 0 1
they         2.641 -1.191 0 1
think        1.950 -0.496 0 1
thirsty      2.515  1.368 0 1
this         2.749 -0.662 0 1
those        2.698  0.361 0 1
throw        3.417  0.184 0 1
tickle       2.264  1.811 0 1
tiger        2.643  3.481 0 1
tights       2.643  3.481 0 1
time         2.721  0.015 0 1
tiny         2.953  0.883 0 1
tired        3.176  0.699 0 1
tissue       2.643  3.481 0 1
to           2.746 -1.187 0 1
toast        2.643  3.481 0 1
today        2.800  1.646 0 1
toe          2.643  3.481 0 1
tomorrow     2.211  1.440 0 1
tongue       2.821  0.890 0 1
tonight      2.522  1.367 0 1
too          1.592  0.639 0 1
tooth        2.643  3.481 0 1
toothbrush   2.643  3.481 0 1
touch        1.866  1.256 0 1
towel        2.643  3.481 0 1
toy          2.643  3.481 0 1
tractor      2.643  3.481 0 1
train        2.277  1.806 0 1
trash        3.005  1.292 0 1
tray         2.643  3.481 0 1
tree         2.527  1.366 0 1
tricycle     2.643  3.481 0 1
truck        2.643  3.481 0 1
tummy        2.643  3.481 0 1
tuna         2.643  3.481 0 1
turkey       2.643  3.481 0 1
turtle       2.277  1.806 0 1
uncle        2.643  3.481 0 1
under        2.519  0.017 0 1
underpants   2.643  3.481 0 1
up           2.749 -0.662 0 1
us           3.155 -0.158 0 1
vacuum       2.914  0.186 0 1
vagina       3.260  1.054 0 1
vanilla      2.416  0.922 0 1
vitamins     2.643  3.481 0 1
vroom        2.643  3.481 0 1
wait         2.628  0.016 0 1
wake         3.072 -0.660 0 1
walk         3.236  0.013 0 1
walker       2.643  3.481 0 1
wash         2.792  1.648 0 1
we           3.094 -1.375 0 1
wet          2.290  0.936 0 1
what         3.038 -0.327 0 1
when         2.514 -0.836 0 1
where        3.050 -0.327 0 1
which        2.669  0.016 0 1
white        2.026  0.206 0 1
who          2.223 -0.324 0 1
why          3.288 -0.158 0 1
wind         2.517  0.723 0 1
window       2.803 -0.156 0 1
windy        2.643  3.481 0 1
wipe         2.792  1.648 0 1
wish         1.645  1.339 0 1
with         2.743 -1.003 0 1
wolf         2.643  3.481 0 1
woods        3.464  0.356 0 1
write        2.543  0.017 0 1
yard         2.264  1.811 0 1
yellow       1.754  1.039 0 1
yes          2.643  3.481 0 1
yesterday    2.643  3.481 0 1
yogurt       2.643  3.481 0 1
you          2.661 -1.006 0 1
your         2.884 -0.661 0 1
yourself     3.236  0.013 0 1
yucky        2.643  3.481 0 1
zebra        2.643  3.481 0 1
zipper       2.643  3.481 0 1
zoo          1.934  1.531 0 1

$means
F 
0 

$cov
  F
F 1

> fscores(twoPL_run16_29_models_all_words_normal_prior)
                  F
 [1,] -0.8640220478
 [2,] -0.8295863386
 [3,] -0.8488451874
 [4,]  0.1959301959
 [5,] -0.0003354198
 [6,]  0.0143336925
 [7,]  0.6150198939
 [8,]  0.7995187064
 [9,]  0.8001853644
[10,]  1.2001241985
[11,]  1.1999474610
[12,]  1.2080414148
[13,] -2.6440854148
[14,] -2.6440854148
[15,] -2.6440854148
[16,]  0.6000429538
[17,] -2.6440854148
[18,] -2.6440854148
[19,] -2.6440854148
[20,] -2.6440854148
[21,] -2.6440854148
[22,] -2.6440854148
[23,] -0.9454252011
[24,] -0.9832307404
[25,] -0.4054654909
[26,] -2.6440854148
[27,] -2.4988545185
[28,] -1.1895735849
[29,] -0.1994163319
[30,]  5.2866170440
[31,] -2.6440854148
