> model <- 'F = 1-587
+ CONSTRAIN = (1-587, a1)'
> model
[1] "F = 1-587\nCONSTRAIN = (1-587, a1)"
> twoPL_run10_equal_slopes <- mirt(lang_acq_run10_all_words_tsv, model)
Iteration: 25, Log-Lik: -1812.714, Max-Change: 0.00005
> coef(twoPL_run10_equal_slopes, IRTpars = TRUE, simplify=TRUE)
$items
                 a      b g u
mine         3.149  0.907 0 1
mittens      3.149  2.975 0 1
mommy        3.149  1.393 0 1
money        3.149  0.029 0 1
monkey       3.149  2.975 0 1
moo          3.149  2.975 0 1
moon         3.149  1.109 0 1
moose        3.149  2.975 0 1
mop          3.149  2.975 0 1
more         3.149 -0.762 0 1
morning      3.149 -0.762 0 1
motorcycle   3.149  2.975 0 1
mouse        3.149  1.393 0 1
mouth        3.149 -0.443 0 1
movie        3.149  0.733 0 1
much         3.149 -1.507 0 1
muffin       3.149  2.975 0 1
my           3.149 -2.499 0 1
myself       3.149 -0.187 0 1
nail         3.149  2.975 0 1
nap          3.149  0.568 0 1
napkin       3.149  2.975 0 1
naughty      3.149  1.393 0 1
necklace     3.149  2.975 0 1
new          3.149 -1.118 0 1
nice         3.149  0.400 0 1
night        3.149 -0.762 0 1
no           3.149  2.975 0 1
noisy        3.149  2.975 0 1
none         3.149  0.029 0 1
noodles      3.149  2.975 0 1
nose         3.149  1.109 0 1
not          3.149 -1.507 0 1
now          3.149  1.393 0 1
nurse        3.149  2.975 0 1
nuts         3.149  2.975 0 1
of           3.149 -2.499 0 1
off          3.149 -0.443 0 1
old          3.149 -0.187 0 1
on           3.149 -2.499 0 1
open         3.149  0.733 0 1
other        3.149 -1.118 0 1
ouch         3.149  2.975 0 1
our          3.149 -0.762 0 1
out          3.149 -0.762 0 1
outside      3.149  2.975 0 1
oven         3.149  0.733 0 1
over         3.149 -0.762 0 1
owl          3.149  2.975 0 1
paint        3.149  0.907 0 1
pajamas      3.149  2.975 0 1
pancake      3.149  2.975 0 1
pants        3.149  0.733 0 1
paper        3.149  0.907 0 1
park         3.149  0.223 0 1
party        3.149  0.733 0 1
pattycake    3.149  2.975 0 1
peas         3.149  1.393 0 1
peekaboo     3.149  2.975 0 1
pen          3.149  1.393 0 1
pencil       3.149  1.393 0 1
penguin      3.149  2.975 0 1
penis        3.149  2.975 0 1
penny        3.149  2.975 0 1
people       3.149 -0.187 0 1
person       3.149 -0.443 0 1
pick         3.149 -0.762 0 1
pickle       3.149  2.975 0 1
picnic       3.149  0.907 0 1
picture      3.149  0.568 0 1
pig          3.149  2.975 0 1
pillow       3.149  2.975 0 1
pizza        3.149  2.975 0 1
plant        3.149  2.975 0 1
plate        3.149  1.109 0 1
play         3.149 -0.187 0 1
playground   3.149  2.975 0 1
please       3.149  0.907 0 1
police       3.149 -0.187 0 1
pony         3.149  2.975 0 1
pool         3.149  0.733 0 1
poor         3.149  1.109 0 1
popcorn      3.149  2.975 0 1
popsicle     3.149  2.975 0 1
porch        3.149  1.109 0 1
potato       3.149  2.975 0 1
potty        3.149  2.975 0 1
pour         3.149  1.393 0 1
present      3.149  1.109 0 1
pretend      3.149  0.907 0 1
pretty       3.149  0.029 0 1
pretzel      3.149  2.975 0 1
pudding      3.149  2.975 0 1
pull         3.149  0.400 0 1
pumpkin      3.149  2.975 0 1
puppy        3.149  2.975 0 1
purse        3.149  2.975 0 1
push         3.149  1.109 0 1
put          3.149 -0.443 0 1
puzzle       3.149  2.975 0 1
quiet        3.149  0.907 0 1
radio        3.149  1.393 0 1
rain         3.149  0.733 0 1
raisin       3.149  2.975 0 1
read         3.149 -0.187 0 1
red          3.149  0.733 0 1
refrigerator 3.149  2.975 0 1
ride         3.149  0.029 0 1
rip          3.149  2.975 0 1
rock         3.149  1.393 0 1
roof         3.149  0.907 0 1
room         3.149  0.733 0 1
rooster      3.149  2.975 0 1
run          3.149  0.400 0 1
sad          3.149  1.109 0 1
salt         3.149  0.568 0 1
same         3.149 -1.118 0 1
sandbox      3.149  2.975 0 1
sandwich     3.149  1.109 0 1
sauce        3.149  0.733 0 1
say          3.149 -0.443 0 1
scared       3.149  0.568 0 1
scarf        3.149  0.907 0 1
school       3.149  0.029 0 1
scissors     3.149  2.975 0 1
see          3.149 -0.762 0 1
shake        3.149 -0.187 0 1
share        3.149  0.733 0 1
she          3.149 -1.118 0 1
sheep        3.149  2.975 0 1
shush        3.149  2.975 0 1
shirt        3.149  0.907 0 1
shoe         3.149  1.393 0 1
shopping     3.149  0.223 0 1
shorts       3.149  2.975 0 1
shoulder     3.149  0.029 0 1
shovel       3.149  2.975 0 1
show         3.149 -0.443 0 1
shower       3.149  0.400 0 1
sick         3.149  1.109 0 1
sidewalk     3.149  2.975 0 1
sing         3.149  0.029 0 1
sink         3.149  1.393 0 1
sister       3.149  0.223 0 1
sit          3.149 -0.443 0 1
skate        3.149  2.975 0 1
sky          3.149  0.029 0 1
sled         3.149  2.975 0 1
sleep        3.149 -0.443 0 1
sleepy       3.149  2.975 0 1
slipper      3.149  2.975 0 1
slow         3.149  1.109 0 1
smile        3.149  0.400 0 1
snack        3.149  2.975 0 1
sneaker      3.149  2.975 0 1
snow         3.149  0.733 0 1
snowman      3.149  2.975 0 1
snowsuit     3.149  2.975 0 1
soap         3.149  2.975 0 1
sock         3.149  2.975 0 1
soda         3.149  2.975 0 1
sofa         3.149  1.393 0 1
soft         3.149  2.975 0 1
some         3.149 -1.118 0 1
soup         3.149  1.393 0 1
spaghetti    3.149  1.109 0 1
spill        3.149  1.393 0 1
splash       3.149  1.393 0 1
spoon        3.149  2.975 0 1
sprinkler    3.149  2.975 0 1
squirrel     3.149  2.975 0 1
stairs       3.149 -0.187 0 1
stand        3.149  0.400 0 1
star         3.149  1.393 0 1
stay         3.149 -0.762 0 1
