> lognormal_prior <- 'F = 1-587
+ PRIOR = (1-587, a1, lnorm, 0, 1)' 
> lognormal_model <- mirt.model(lognormal_prior)
> twoPL_run10_lognormal_prior <- mirt(lang_acq_run10_all_words_tsv, lognormal_model)
Iteration: 47, Log-Lik: -2364.533, Max-Change: 0.00004
> coef(twoPL_run10_lognormal_prior, IRTpars = TRUE, simplify = TRUE)
$items
                 a       b g u
taste        1.028  -0.075 0 1
teacher      0.722   3.202 0 1
tear         0.965   4.562 0 1
telephone    0.628   3.508 0 1
that         1.627  -3.946 0 1
their        0.700  -7.408 0 1
them         1.627  -3.946 0 1
there        0.620  -3.455 0 1
these        1.627  -3.946 0 1
they         0.700  -7.408 0 1
think        0.700  -7.408 0 1
thirsty      0.965   4.562 0 1
this         0.992  -4.839 0 1
those        0.602  -2.714 0 1
throw        0.952  -1.831 0 1
tickle       0.965   4.562 0 1
tiger        0.965   4.562 0 1
tights       0.965   4.562 0 1
time         0.967  -5.714 0 1
tiny         0.389   3.478 0 1
tired        0.464   0.209 0 1
tissue       0.965   4.562 0 1
to           0.700  -7.408 0 1
toast        0.965   4.562 0 1
today        1.262   0.433 0 1
toe          0.947   2.702 0 1
tomorrow     1.783   0.417 0 1
tongue       0.756   2.051 0 1
tonight      1.704   0.876 0 1
too          0.402  -1.336 0 1
tooth        0.947   2.702 0 1
toothbrush   0.965   4.562 0 1
touch        0.616   0.731 0 1
towel        0.731   1.298 0 1
toy          0.965   4.562 0 1
tractor      0.965   4.562 0 1
train        0.475   4.272 0 1
trash        1.704   0.876 0 1
tray         0.965   4.562 0 1
tree         0.979  -0.073 0 1
tricycle     0.965   4.562 0 1
truck        0.813   2.969 0 1
tummy        0.965   4.562 0 1
tuna         0.965   4.562 0 1
turkey       0.965   4.562 0 1
turtle       0.965   4.562 0 1
uncle        0.640   0.020 0 1
under        0.835  -3.276 0 1
underpants   0.965   4.562 0 1
up           1.627  -3.946 0 1
us           1.156  -4.816 0 1
vacuum       0.763  -1.908 0 1
vagina       0.847   1.168 0 1
vanilla      0.866   1.873 0 1
vitamins     0.965   4.562 0 1
vroom        0.965   4.562 0 1
wait         1.940  -1.684 0 1
wake         1.199  -3.133 0 1
walk         0.948  -1.833 0 1
walker       0.965   4.562 0 1
wash         0.836   1.178 0 1
we           0.700  -7.408 0 1
wet          0.653   3.419 0 1
what         0.697  -3.374 0 1
when         0.700  -7.408 0 1
where        1.627  -3.946 0 1
which        1.005  -1.814 0 1
white        0.472  -2.880 0 1
who          0.708  -3.365 0 1
why          1.199  -3.133 0 1
wind         0.941  -0.070 0 1
window       0.423  -2.141 0 1
windy        0.947   2.702 0 1
wipe         0.653   3.419 0 1
wish         1.627  -3.946 0 1
with         0.700  -7.408 0 1
wolf         0.495   4.144 0 1
woods        1.745  -0.543 0 1
write        1.281  -2.394 0 1
yard         0.947   2.702 0 1
yellow       0.525   2.696 0 1
yes          0.965   4.562 0 1
yesterday    0.965   4.562 0 1
yogurt       0.965   4.562 0 1
you          1.108  -4.819 0 1
your         1.108  -4.819 0 1
yourself     0.703  -1.281 0 1
yucky        0.965   4.562 0 1
zebra        0.965   4.562 0 1
zipper       0.628   3.508 0 1
zoo          0.853   1.892 0 1

$means
F 
0 

$cov
  F
F 1





> fscores(twoPL_run10_lognormal_prior, full.scores = TRUE)
               F
 [1,] -5.6105780
 [2,] -5.2031765
 [3,] -5.3044869
 [4,] -2.6082107
 [5,] -2.5275832
 [6,] -2.6309099
 [7,] -0.9568588
 [8,] -0.4405393
 [9,] -0.7193841
[10,]  1.0079592
[11,]  0.4720008
[12,]  1.3655413
[13,]  0.6331892
[14,]  1.7022251
[15,]  5.9999463
[16,] -5.9942961
